orderedtreatname,treatname,sludgetype,sludgetypeshort,daysludgetreat,newtreatname,day,timepoint,avetotinorgn,stdevtotinorgn,counttotinorgn,aveammnbiosolidmgkg,stdevammnbiosolidmgkg,countammnbiosolid,avenh4n mgkg,sdnh4n mgkg,countnh4n mgkg,aveno3n mgkg,sdno3n mgkg,countno3nmgkg,avenh4nmgkgsoilb4,nh4nmgkgsoilb4sd,nh4nmgkgsoilb4count,aveno3nmgkgsoilb4,no3nmgkgsoilb4sd,no3nmgkgsoilb4count,ave orgnbiosolidmgkg,ave orgnbiosolidsdmgkg,ave orgnbiosolidcount, totNorgandammstartmgkg , totNorgandammstartmgkgsd , totNorgandammstartcount , totNorgandammstartse ,mineralisenpercent,mineralisenpercentsd,mineralisenpercentse,mineralisenmgkg,mineralisensd,treatno
bd3 mAD-LD190  pF1,bd3 mAD-LD190  pF1,S-LD190 pF1,S-LD190,D3 S-LD190 pF1,S-LD190,3,2,68.83,14.71169943,3,21.69739939,1.246584939,5,66.90666667,17.31892703,3,1.923333333,3.331311053,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.042887809,0.016566767,0.009564827,38.31821403,14.77997791,13
bd3 nAD-LD250  pF1,bd3 nAD-LD250  pF1,S-LD250 pF1,S-LD250,D3 S-LD250 pF1,S-LD250,3,2,39.88,9.460776924,3,22.86937266,2.610963811,5,35,4.845606257,3,4.88,8.452407941,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.008977545,0.010778044,0.006222706,8.196240759,9.837840466,14
cd7 aC pF2,cd7 aC pF2,C pF2,C,D7 C pF2,C,7,3,13.99666667,1.092260653,3,0,0,5,0,0,3,13.99666667,1.092260653,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,5.182280088,1.285576267,1
cd7 bAD-C  pF2,cd7 bAD-C  pF2,S-AD pF2,S-AD,D7 S-AD pF2,S-AD,7,3,178.6266667,6.343991908,3,176.9616203,16.08480382,5,64.94,8.746159157,3,113.6866667,2.799309439,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,885.644346,15.27060934,5,"1,063.99",22.18038539,5,9.919369901,-0.008072473,-0.019538761,-0.011280709,-7.149340167,17.30395389,2
cd7 cAD-FD  pF2,cd7 cAD-FD  pF2,S-AD-FD pF2,S-FD,D7 S-AD-FD pF2,S-FD,7,3,226.82,22.36044946,3,68.60043788,1.677252186,5,147.51,17.28232913,3,79.31,5.165781645,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,920.8225151,11.59866543,5,989.3575112,12.22136469,5,5.465560444,0.162251871,0.024448045,0.014115085,149.4051755,22.43351394,3
cd7 dAD-LD70  pF2,cd7 dAD-LD70  pF2,S-LD70 pF2,S-LD70,D7 S-LD70 pF2,S-LD70,7,3,170.45,12.13208968,3,120.958969,4.013035941,5,102.23,7.475486606,3,68.22,8.746193458,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,854.7584589,12.96856658,5,975.6737086,12.96856658,5,5.79971929,0.047588467,0.014988357,0.008653532,40.6766444,12.79655151,4
cd7 eAD-LD130  pF2,cd7 eAD-LD130  pF2,S-LD130 pF2,S-LD130,D7 S-LD130 pF2,S-LD130,7,3,157.5333333,6.331447965,3,90.50620022,1.116441731,5,86.06,6.644238105,3,71.47333333,1.245886565,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,891.9530076,25.01166448,5,982.4183606,25.01166448,5,11.1855564,0.065264365,0.007475373,0.004315909,58.21274654,6.464777527,5
cd7 fAD-LD190  pF2,cd7 fAD-LD190  pF2,S-LD190 pF2,S-LD190,D7 S-LD190 pF2,S-LD190,7,3,87.81333333,7.64040793,3,21.69739939,1.246584939,5,33.01666667,5.950675032,3,54.79666667,5.391756053,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,893.4523623,18.65504483,5,915.0962006,40.28425097,5,18.01566472,0.064134978,0.008800279,0.005080843,57.30154737,7.771066873,6
cd7 gAD-LD250  pF2,cd7 gAD-LD250  pF2,S-LD250 pF2,S-LD250,D7 S-LD250 pF2,S-LD250,7,3,75.15666667,4.688724062,3,22.86937266,2.610963811,5,11.41333333,2.427886598,3,63.74333333,2.267340586,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,912.9712979,23.19747442,5,935.8809624,23.19747442,5,10.37422594,0.047616949,0.00604725,0.003491382,43.47290743,5.409338071,7
cd7 hC pF1,cd7 hC pF1,C pF1,C,D7 C pF1,C,7,3,7.703333333,2.070998149,3,0,0,5,0,0,3,7.703333333,2.070998149,3,3.636945595,0.67277101,5,5.177440984,0.083977222,5,0,0,5,0,0,5,0,0,0,0,-1.111053245,2.179152665,8
